ID_CLIENTE,QTD_SOL_LAST_30D,DAYS_SINCE_LAST,N_UNIQUE_DATES,QTD_REGISTROS_CLIENTE,JA_TENTOU_CANCELAR_max,QTD_FINANCEIRO_mean,QTD_SUPORTE_TECNICO_mean,QTD_OUTROS_mean,QTD_ADMINISTRATIVO_mean,TAXA_CONTATO_DIA
110042,0,259,13,18,1,1,7,4,5,18
174314,0,44,38,51,1,24,13,4,6,51
168170,0,353,19,31,1,4,16,5,3,31
132801,3,3,26,44,1,24,8,3,2,44
132487,0,319,15,24,0,13,4,2,4,24
109844,0,91,45,64,1,40,12,5,5,64
160558,0,345,12,20,1,5,6,3,5,20
91627,1,1,59,65,1,45,5,2,0,65
155739,3,4,20,24,0,3,13,6,2,24
125691,2,7,21,24,0,15,6,1,2,24
151361,0,120,13,14,0,10,1,2,1,14
177480,2,11,19,32,0,18,10,3,1,32
127484,1,7,6,6,0,3,2,1,0,6
113792,0,251,10,12,0,4,8,0,0,12
190947,3,1,20,22,1,16,0,1,0,22
163131,3,4,47,79,1,45,11,11,4,79
153952,0,203,9,16,0,1,4,6,5,16
151076,2,10,41,77,0,17,25,12,8,77
151126,3,21,23,31,0,20,2,0,8,31
194459,3,1,3,4,0,4,0,0,0,4
115220,4,1,49,72,1,45,10,3,0,72
159067,0,70,7,11,0,2,9,0,0,11
191463,1,15,10,10,0,9,0,0,1,10
61275,0,423,8,8,0,1,7,0,0,8
188365,0,91,19,27,0,16,8,3,0,27
153811,0,177,13,13,1,5,1,2,1,13
142,0,74,48,55,0,23,6,12,8,55
173619,1,0,25,31,1,22,3,1,0,31
166762,0,102,18,26,1,4,17,0,2,26
197574,1,18,6,6,0,0,5,1,0,6
95382,0,86,23,26,0,9,14,3,0,26
139878,3,3,59,79,1,45,15,6,5,79
43128,2,4,61,79,1,45,18,12,8,79
108778,4,0,25,34,1,21,8,0,0,34
165357,0,92,7,11,1,2,2,3,0,11
65067,0,149,11,12,0,12,0,0,0,12
163046,0,37,29,38,1,32,3,2,0,38
180483,2,9,25,41,1,11,8,7,8,41
114499,3,4,54,72,0,31,25,6,2,72
170857,3,9,22,24,1,18,2,3,0,24
191477,2,7,8,10,0,3,3,4,0,10
190898,1,2,13,23,1,15,3,3,0,23
44656,0,168,19,27,1,21,4,1,0,27
163459,1,15,21,25,0,24,1,0,0,25
132162,0,153,1,1,0,0,0,0,0,1
112467,0,115,14,14,0,4,8,1,1,14
94102,2,11,12,16,0,0,13,3,0,16
143562,4,17,27,29,1,17,5,3,3,29
163812,0,121,5,5,0,3,2,0,0,5
163936,0,134,11,16,1,2,9,0,0,16
167738,1,9,8,9,0,3,4,1,1,9
160035,0,43,28,43,0,14,12,8,8,43
163499,1,16,17,24,0,17,6,1,0,24
73456,4,8,22,24,0,18,5,1,0,24
195701,0,35,8,10,0,8,1,1,0,10
176844,0,199,14,14,1,5,5,2,0,14
192629,4,11,4,5,1,3,1,0,0,5
182674,0,71,12,15,1,4,3,3,3,15
92384,0,246,2,2,0,0,1,1,0,2
20661,2,9,6,13,0,6,5,1,1,13
172272,3,1,26,41,1,24,9,2,2,41
194371,0,57,2,2,0,0,1,1,0,2
2135,1,14,17,27,1,3,8,11,1,27
115317,0,120,13,16,1,12,1,0,0,16
183977,0,59,17,22,0,12,9,0,0,22
157722,2,2,16,18,1,11,4,1,0,18
150978,2,18,14,18,1,4,8,2,0,18
185763,0,74,16,20,0,4,5,8,3,20
130662,1,11,6,7,0,4,1,2,0,7
142868,0,122,13,15,1,3,4,1,0,15
187579,4,1,13,22,1,15,5,0,0,22
110103,1,14,11,12,0,9,2,1,0,12
185074,0,251,9,10,0,10,0,0,0,10
171126,0,133,20,24,0,5,8,4,7,24
166591,0,35,20,21,1,15,1,0,0,21
145655,1,4,23,28,0,20,6,2,0,28
193611,2,18,8,15,1,7,5,1,0,15
194203,3,16,3,4,0,1,1,1,1,4
121900,0,344,4,4,0,3,0,1,0,4
184453,1,28,61,79,1,38,25,12,8,79
149375,2,4,30,41,1,29,6,3,0,41
167302,1,4,10,10,0,10,0,0,0,10
187644,0,126,10,15,0,3,8,2,2,15
188151,4,4,16,25,0,8,7,6,4,25
195492,1,16,12,14,0,2,2,1,8,14
131906,4,9,13,20,1,8,2,2,1,20
126248,0,90,14,18,0,7,6,4,1,18
142167,0,149,4,5,0,4,0,1,0,5
134235,1,21,20,24,0,17,2,4,1,24
194828,2,1,1,2,0,2,0,0,0,2
67349,2,20,8,9,1,4,0,1,0,9
140987,1,22,12,18,0,12,4,0,1,18
147005,1,17,11,14,0,3,8,1,2,14
118002,0,218,7,13,1,10,1,1,0,13
161391,0,164,7,10,0,1,6,3,0,10
195915,1,11,4,4,0,3,0,1,0,4
189032,0,32,14,16,0,9,5,1,1,16
128487,0,276,8,11,0,6,2,2,1,11
156524,3,7,57,79,1,45,7,2,0,79
177968,0,64,14,17,1,10,4,1,1,17
143508,0,325,6,6,0,6,0,0,0,6
171693,1,17,14,21,0,4,5,5,6,21
178576,0,42,14,16,0,8,3,5,0,16
145896,1,30,12,23,0,15,5,3,0,23
162167,3,6,22,30,1,8,15,2,3,30
182765,1,3,11,11,1,7,1,0,0,11
190647,0,32,4,13,0,10,2,1,0,13
119047,3,21,47,56,1,45,2,1,0,56
149961,1,10,37,68,1,41,8,5,1,68
169499,2,2,37,41,1,37,2,1,0,41
161794,1,20,11,14,0,7,5,1,1,14
117294,2,11,31,39,1,28,5,4,0,39
112722,1,14,24,27,0,21,3,1,1,27
197694,2,1,3,3,0,1,1,1,0,3
197755,0,49,2,4,0,2,0,1,1,4
188423,0,31,3,7,1,0,1,0,4,7
187912,0,457,3,4,0,0,0,3,1,4
82729,0,527,2,2,0,0,2,0,0,2
147552,3,25,28,46,1,27,6,2,0,46
182432,4,1,41,73,1,45,7,3,3,73
193554,0,71,9,17,0,8,2,1,6,17
53875,0,431,10,12,0,1,3,3,5,12
44210,0,61,17,18,0,1,15,1,0,18
90136,2,24,34,39,1,20,17,0,0,39
108888,0,98,20,26,0,17,2,6,1,26
139668,3,11,5,7,1,0,2,4,0,7
185071,0,154,2,2,1,0,0,1,0,2
182127,0,176,8,10,0,9,1,0,0,10
164231,1,16,19,24,1,6,10,3,2,24
173597,0,141,27,33,0,18,8,4,3,33
107915,0,133,8,8,0,1,7,0,0,8
119521,0,41,12,15,0,10,2,3,0,15
141152,1,30,19,26,1,20,2,0,1,26
161828,0,306,9,13,0,0,3,2,8,13
180381,0,187,8,9,0,1,3,2,2,9
152700,2,23,17,23,0,5,9,6,3,23
117230,0,148,5,6,1,3,1,1,0,6
133723,0,148,5,6,0,0,5,1,0,6
138431,0,344,9,17,0,3,8,3,2,17
151409,0,114,7,9,0,0,4,1,2,9
169039,1,2,11,12,0,9,1,1,0,12
170697,1,8,19,22,0,13,3,3,3,22
150852,4,1,14,23,0,11,8,1,0,23
136021,1,11,23,29,1,10,5,5,0,29
192584,3,3,8,11,0,9,1,0,1,11
176163,0,59,11,15,0,1,9,5,0,15
195839,2,8,3,3,0,0,2,0,1,3
180614,0,69,15,15,0,8,2,3,1,15
155470,2,10,6,6,1,2,1,0,0,6
164020,0,102,21,27,1,8,11,4,3,27
196724,4,23,9,12,1,11,0,0,0,12
191026,0,50,4,4,0,3,1,0,0,4
143804,0,137,12,16,1,7,6,1,1,16
143814,0,340,7,9,1,3,1,2,0,9
144865,0,527,7,9,0,0,6,2,1,9
137542,2,9,23,39,1,12,12,1,8,39
146901,0,86,12,13,0,12,1,0,0,13
120411,2,14,20,21,1,13,6,1,0,21
113492,2,4,60,79,1,45,25,5,1,79
126629,2,7,26,42,0,19,7,6,8,42
155979,0,296,34,53,1,25,20,2,4,53
145817,0,98,4,5,0,0,5,0,0,5
118957,0,149,6,8,0,1,4,1,1,8
147646,4,3,10,17,0,2,12,3,0,17
166617,1,27,11,14,1,4,4,1,0,14
171130,0,94,7,7,0,4,3,0,0,7
174562,0,36,19,28,1,4,13,4,5,28
171247,1,8,16,19,1,11,5,0,0,19
175138,1,8,13,16,0,7,7,2,0,16
160199,2,16,10,11,1,5,5,0,0,11
196500,0,83,5,7,0,3,1,3,0,7
142056,3,3,46,66,1,31,9,6,8,66
163645,1,3,46,62,1,32,12,4,8,62
147053,0,78,25,35,1,9,11,8,6,35
87072,1,30,20,27,1,12,9,3,1,27
164145,2,3,14,15,1,3,1,5,4,15
185198,0,86,14,20,1,10,4,2,1,20
191472,2,1,9,11,0,8,2,0,1,11
161979,0,527,2,2,0,0,1,0,1,2
66799,0,145,20,29,1,11,8,6,0,29
145738,3,6,48,66,1,28,16,5,2,66
177402,0,76,12,20,1,7,9,0,2,20
20896,0,445,10,14,1,5,2,2,0,14
192811,4,11,9,10,0,0,0,1,8,10
161261,0,59,17,21,0,7,6,2,4,21
127871,0,72,11,11,0,4,5,0,1,11
142515,0,86,13,18,0,5,12,1,0,18
159337,1,24,19,24,1,13,4,0,0,24
170088,4,4,34,46,1,23,10,5,1,46
190666,0,328,1,1,0,0,1,0,0,1
86471,1,25,21,31,1,16,2,5,5,31
174675,1,8,20,26,1,16,3,3,0,26
76787,0,37,52,74,1,45,15,3,2,74
166855,0,133,19,21,1,9,4,3,4,21
77647,0,144,6,6,0,4,1,1,0,6
1471,3,14,24,31,1,5,17,5,1,31
149317,0,89,34,41,1,28,7,2,1,41
169315,0,168,3,3,0,0,3,0,0,3
110450,0,527,18,29,1,0,5,12,5,29
138324,0,161,14,25,1,6,8,0,1,25
153957,1,21,23,27,1,8,10,2,4,27
151104,4,7,58,79,1,33,25,7,3,79
186907,0,100,16,19,0,10,6,2,1,19
74650,0,527,4,7,0,1,4,1,1,7
173707,4,2,30,42,1,20,12,6,3,42
97609,0,200,13,17,0,1,10,3,3,17
32588,0,77,22,24,0,12,6,5,1,24
134540,1,4,18,22,1,7,7,1,5,22
181874,2,2,15,18,0,14,1,2,1,18
117611,1,22,8,9,0,4,5,0,0,9
147981,1,9,14,15,0,5,4,0,6,15
136140,0,86,16,23,1,7,2,1,8,23
181004,0,517,1,3,0,0,2,1,0,3
190634,1,30,7,12,1,6,2,2,0,12
